column_number, radial distance, total stars, total sterilizations- at least sterilized once
1,15,432360,20520
2,45,1283760,52200
3,75,2106000,151200
4,105,2913120,113400
5,135,3694680,264600
6,165,4453920,480960
7,195,5193720,487800
8,225,5911560,439560
9,255,6614640,807120
10,285,7291800,961560
11,315,7952760,1034640
12,345,8595000,1076400
13,375,9215280,1737360
14,405,9826200,1651320
15,435,10415160,1955880
16,465,10986120,2507400
17,495,11538360,2438640
18,525,12073680,3150360
19,555,12593880,3218040
20,585,13098240,3192840
21,615,13592520,2914560
22,645,14065200,2814120
23,675,14524560,3369240
24,705,14968080,3376800
25,735,15399360,4176360
26,765,15811920,4497120
27,795,16218000,4167360
28,825,16607160,4341600
29,855,16982640,4732200
30,885,17345160,4912920
31,915,17698320,5014440
32,945,18032760,3473280
33,975,18360360,3762720
34,1005,18672120,4498560
35,1035,18978120,5450760
36,1065,19267200,5329440
37,1095,19545840,4439520
38,1125,19818360,4053240
39,1155,20078640,4845240
40,1185,20327760,5067360
41,1215,20563560,5528520
42,1245,20790360,5295240
43,1275,21011040,5411160
44,1305,21221640,4398480
45,1335,21420000,5519880
46,1365,21614760,6363720
47,1395,21796560,6626520
48,1425,21970080,6022080
49,1455,22135680,5795640
50,1485,22291920,4518720
51,1515,22443840,4697640
52,1545,22579920,6370200
53,1575,22716720,5968080
54,1605,22843440,4574520
55,1635,22960080,6325560
56,1665,23073840,6322320
57,1695,23176440,5026320
58,1725,23272920,4262760
59,1755,23361840,7184160
60,1785,23446800,6467760
61,1815,23526720,6963840
62,1845,23599440,5999040
63,1875,23669280,7013880
64,1905,23726880,5472360
65,1935,23778360,6299640
66,1965,23832000,6276960
67,1995,23873040,5578920
68,2025,23910480,6586920
69,2055,23949720,6586920
70,2085,23973120,5688000
71,2115,23995440,7588800
72,2145,24014880,7551720
73,2175,24029280,6334560
74,2205,24034680,5791680
75,2235,24040800,7531920
76,2265,24036120,5797440
77,2295,24032160,5792760
78,2325,24033240,5635440
79,2355,24017040,6813720
80,2385,23997600,5234400
81,2415,23974920,6553440
82,2445,23954760,5353920
83,2475,23928120,5021280
84,2505,23896440,5640840
85,2535,23859720,6048000
86,2565,23824440,5527080
87,2595,23788080,5789160
88,2625,23740200,5756040
89,2655,23693400,4720320
90,2685,23646960,6830280
91,2715,23592960,5775120
92,2745,23534640,4798440
93,2775,23478480,4812840
94,2805,23418360,6591240
95,2835,23355720,5180760
96,2865,23290560,4824360
97,2895,23222520,4016520
98,2925,23151960,4824000
99,2955,23078160,4054320
100,2985,23005080,3474000
101,3015,22928400,3628080
102,3045,22847400,3508200
103,3075,22767840,4822200
104,3105,22686840,5018400
105,3135,22603680,4092840
106,3165,22514760,3907440
107,3195,22428000,3791160
108,3225,22341960,4491000
109,3255,22249080,4440960
110,3285,22156200,3759120
111,3315,22064400,3791160
112,3345,21970800,4121640
113,3375,21872520,4002480
114,3405,21774600,4142520
115,3435,21678120,4583160
116,3465,21575520,3533400
117,3495,21474720,3790440
118,3525,21368160,4389120
119,3555,21264120,4173480
120,3585,21157920,3373920
121,3615,21056760,2641320
122,3645,20949120,2742840
123,3675,20844000,2895120
124,3705,20736720,3826440
125,3735,20627640,3158640
126,3765,20509920,3249360
127,3795,20408400,2692440
128,3825,20291400,2726640
129,3855,20182320,2484000
130,3885,20066040,3193560
131,3915,19956240,2634120
132,3945,19842480,2341080
133,3975,19731960,2585880
134,4005,19616400,2349000
135,4035,19497960,2486520
136,4065,19383120,2357280
137,4095,19272960,3161520
138,4125,19154160,2736360
139,4155,19039320,2172240
140,4185,18922320,1820520
141,4215,18804960,2966040
142,4245,18687240,2332080
143,4275,18568800,2100600
144,4305,18452880,2737080
145,4335,18337320,1586520
146,4365,18218880,1655640
147,4395,18101520,2563560
148,4425,17982720,1892160
149,4455,17868960,1849680
150,4485,17750160,1903320
151,4515,17626680,1798920
152,4545,17512560,2149560
153,4575,17391960,1581120
154,4605,17274600,1492920
155,4635,17157960,1596600
156,4665,17038800,1386000
157,4695,16926840,1369800
158,4725,16806960,1564920
159,4755,16687440,2049480
160,4785,16569360,1379520
161,4815,16454880,990720
162,4845,16337880,1210680
163,4875,16219800,1037520
164,4905,16103160,1041840
165,4935,15983640,1134720
166,4965,15869880,963360
167,4995,15756120,1695960
168,5025,15641280,1526040
169,5055,15525000,1359000
170,5085,15412680,1424160
171,5115,15296400,1098720
172,5145,15184440,822240
173,5175,15073560,863640
174,5205,14952960,994320
175,5235,14844240,938520
176,5265,14731200,840240
177,5295,14618160,927000
178,5325,14507280,1188000
179,5355,14392800,1007280
180,5385,14284080,1236600
181,5415,14175000,945360
182,5445,14063040,921960
183,5475,13952160,974880
184,5505,13842000,1201680
185,5535,13735800,1612800
186,5565,13625280,1027080
187,5595,13515480,507960
188,5625,13410360,809280
189,5655,13302720,692280
190,5685,13199040,531000
191,5715,13089960,1004760
192,5745,12984840,793800
193,5775,12881520,686160
194,5805,12773520,807120
195,5835,12670560,579240
196,5865,12564000,660600
197,5895,12463560,871920
198,5925,12361680,829440
199,5955,12260880,862560
200,5985,12158280,645120
201,6015,12052800,699840
202,6045,11957040,591480
203,6075,11859120,395640
204,6105,11760120,549000
205,6135,11659320,652680
206,6165,11563200,671760
207,6195,11464920,684360
208,6225,11368080,658080
209,6255,11272320,599760
210,6285,11176560,759960
211,6315,11079360,587520
212,6345,10985040,550440
213,6375,10890720,803880
214,6405,10796400,464040
215,6435,10703880,571680
216,6465,10611360,415800
217,6495,10519920,395280
218,6525,10426680,308160
219,6555,10334880,348480
220,6585,10248120,510840
221,6615,10153800,529920
222,6645,10066320,368280
223,6675,9979920,317880
224,6705,9892800,469440
225,6735,9803880,430560
226,6765,9719280,483120
227,6795,9629640,279000
228,6825,9545400,293760
229,6855,9459360,397440
230,6885,9373680,509400
231,6915,9291240,720720
232,6945,9210240,372240
233,6975,9127080,334440
234,7005,9043200,401040
235,7035,8966880,254520
236,7065,8884440,182880
237,7095,8798400,202320
238,7125,8722080,120600
239,7155,8641440,252360
240,7185,8560800,354960
241,7215,8484480,142920
242,7245,8407440,207720
243,7275,8329680,349920
244,7305,8250480,395640
245,7335,8179560,255600
246,7365,8102880,206280
247,7395,8029800,148320
248,7425,7954560,193680
249,7455,7880040,223560
250,7485,7805160,196560
251,7515,7734960,164160
252,7545,7660080,292680
253,7575,7593120,437040
254,7605,7521120,264240
255,7635,7453440,149400
256,7665,7379640,232200
257,7695,7311960,256680
258,7725,7241760,318600
259,7755,7171920,149040
260,7785,7110000,160560
261,7815,7038000,133560
262,7845,6976440,240840
263,7875,6907320,199440
264,7905,6842880,91440
265,7935,6772320,179640
266,7965,6708960,117720
267,7995,6649200,60840
268,8025,6585120,170640
269,8055,6520680,192960
270,8085,6460920,195480
271,8115,6400440,135360
272,8145,6334920,184320
273,8175,6275880,162000
274,8205,6215040,129240
275,8235,6153480,227160
276,8265,6094440,140760
277,8295,6033600,116280
278,8325,5980320,155520
279,8355,5920560,135720
280,8385,5861160,86760
281,8415,5805000,79200
282,8445,5751000,143280
283,8475,5694480,111600
284,8505,5638680,83880
285,8535,5585760,163800
286,8565,5526360,214920
287,8595,5473800,165600
288,8625,5419440,84600
289,8655,5367240,48960
290,8685,5313960,98640
291,8715,5261760,84600
292,8745,5211720,113400
293,8775,5157720,89640
294,8805,5107680,72000
295,8835,5054400,116280
296,8865,5008320,86040
297,8895,4958280,79200
298,8925,4908600,85320
299,8955,4857480,81360
300,8985,4812120,73080
301,9015,4765320,56880
302,9045,4713840,123480
303,9075,4670640,94320
304,9105,4624200,50040
305,9135,4581000,33840
306,9165,4533120,43200
307,9195,4482720,28800
308,9225,4439160,67680
309,9255,4394160,45360
310,9285,4350600,64800
311,9315,4306680,43560
312,9345,4263840,25920
313,9375,4220640,32760
314,9405,4177080,35640
315,9435,4138560,67680
316,9465,4092120,74160
317,9495,4051440,42840
318,9525,4016160,30960
319,9555,3970800,41400
320,9585,3931920,54000
321,9615,3888720,49680
322,9645,3856680,43560
323,9675,3812400,25560
324,9705,3775680,97560
325,9735,3735720,54000
326,9765,3697560,30600
327,9795,3660480,37440
328,9825,3623760,42840
329,9855,3584160,37440
330,9885,3548520,19440
331,9915,3513960,52560
332,9945,3476160,60480
333,9975,3437640,23400
334,10005,3407400,14040
335,10035,3366720,13680
336,10065,3334320,37440
337,10095,3301560,44280
338,10125,3266640,18360
339,10155,3232800,24120
340,10185,3199320,45720
341,10215,3164760,24480
342,10245,3132360,14760
343,10275,3099960,31680
344,10305,3070800,43200
345,10335,3038400,19440
346,10365,3005640,33120
347,10395,2974320,25920
348,10425,2948040,19440
349,10455,2917440,11880
350,10485,2878920,18360
351,10515,2851560,28080
352,10545,2822040,23400
353,10575,2793600,28080
354,10605,2763000,39240
355,10635,2738520,49680
356,10665,2707200,21600
357,10695,2674440,26640
358,10725,2650320,18360
359,10755,2621880,12960
360,10785,2596680,5040
361,10815,2569680,17280
362,10845,2539080,14760
363,10875,2516760,27720
364,10905,2490120,26640
365,10935,2462040,33480
366,10965,2433240,33840
367,10995,2413080,18360
368,11025,2385360,17640
369,11055,2359440,12600
370,11085,2331360,25200
371,11115,2307240,3600
372,11145,2285280,1800
373,11175,2263680,3600
374,11205,2236680,9360
375,11235,2211840,5400
376,11265,2188440,16200
377,11295,2167560,13320
378,11325,2143440,17640
379,11355,2117880,29520
380,11385,2099880,29160
381,11415,2073600,10800
382,11445,2050920,12600
383,11475,2030400,4680
384,11505,2011320,3960
385,11535,1986840,6120
386,11565,1968840,11160
387,11595,1948680,8640
388,11625,1927080,9360
389,11655,1907280,10800
390,11685,1883880,15480
391,11715,1865160,14760
392,11745,1843560,21240
393,11775,1824840,10440
394,11805,1803600,6120
395,11835,1785240,12240
396,11865,1769760,9360
397,11895,1749960,20520
398,11925,1727280,24120
399,11955,1709280,11160
400,11985,1692360,6840
